Closing or Layoff,Initial Report Date,Planned Starting Date,Company,City,Planned # Affected Employees
Layoff *,9/4/2002,10/31/2002,"SUMMA TECHNOLOGY, INC.",Cullman,66
Layoff *,8/30/2002,10/28/2002,SIEMENS WESTINGHOUSE,Fort Payne,200
Layoff *,8/26/2002,10/21/2002,CROWNTUFT,Heflin,147
Closing *,8/22/2002,10/18/2002,"SCHOOL SPECIALTY, INC.",Lineville,58
Layoff *,8/7/2002,10/6/2002,TRILLIUM TUSCALOOSA,Tuscaloosa,133
Closing *,8/2/2002,9/30/2002,"ANSELL HEALTHCARE PRODUCTS, INC.",Troy,125
Closing *,7/31/2002,9/30/2002,FIRST CORRECTIONS CORPORATION,Clayton,87
Closing *,7/31/2002,10/4/2002,"LIZ CLAIRBORNE, INC.",Montgomery,341
Closing *,7/30/2002,11/19/2002,HUNTLEIGH USA CORPORATION,Huntsville,27
Closing *,7/1/2002,9/30/2002,"BELLSOUTH CALL CENTER, MONTGOMERY",Montgomery,85
Closing *,12/2/2002,2/1/2003,"DILLARD'S INC., MOBILE",Mobile,152
Closing *,10/3/2002,11/1/2002,"MUNDY MAINTENANCE AND SERVICES, LLC",Theodore,90
Closing *,5/7/2002,8/31/2002,DEGUSSA CORP./BASF,Theodore,94
Closing *,2/2/2002,4/22/2002,MOBILE PULLEY AND MACHINE WORKS,Mobile,134
Closing *,1/9/2002,12/20/2002,OCAL INC.,Mobile,221
Closing *,11/14/2001,1/15/2002,"THOMAS FOUNDRY (SVEDALA INDUSTRIES, INC.)",Birmingham,86
Layoff *,10/2/2001,12/1/2001,"BUTLER MANUFACTURING COMPANY, INC.",Birmingham,99
Closing *,8/13/2001,10/27/2001,CLASSROOM DIRECT,Birmingham,71
Closing *,7/26/2001,9/25/2001,SECURITYLINK,Birmingham,91
Closing *,7/3/2001,8/31/2001,CINGULAR WIRELESS,Birmingham,208
Layoff *,7/2/2001,9/17/2001,"COOK PUBLICATIONS, INC.",Birmingham,56
Closing *,5/7/2001,7/1/2001,SIRCO SYSTEMS,Birmingham,46
Closing *,3/26/2001,5/18/2001,"MEDIA SERVICES, INC.",Birmingham,224
Closing *,2/28/2001,4/28/2001,PLIANT CORPORATION,Birmingham,94
Layoff *,2/26/2001,4/16/2001,MICHEL COMPANY,Birmingham,1
Layoff *,2/27/2001,4/20/2001,"SONICS ASSOCIATES, INC.",Birmingham,75
Closing *,2/23/2001,2/23/2001,CONNECTSOUTH,Birmingham,9
Closing *,12/28/2001,3/1/2002,GOODRICH AEROSTRUCTURES GROUP,Foley,350
Closing *,12/14/2001,2/12/2002,CAM,Chatom,91
Closing *,12/5/2001,2/4/2002,NOKIA BROADBAND ACCESS,Huntsville,71
Closing *,10/31/2001,3/8/2002,AMERICOLD COMPRESSORS,Cullman,476
Closing *,11/27/2001,1/3/2002,BE&K CONSTRUCTION COMPANY,Decatur,110
Closing *,11/19/2001,1/21/2002,"THE HUDSON COMPANIES, INC.",Troy,150
Closing *,11/14/2001,11/26/2001,RUSSELL CORPORATION,Alexander City,275
Closing *,11/16/2001,1/14/2002,"VANITY FAIR INTIMATES, ATMORE",Atmore,509
Closing *,2/26/2001,4/15/2001,"WABASH ALLOYS, LLC",Russellville,60
Layoff *,2/16/2001,4/18/2002,TRIMS UNLIMITED,Greenville,64
Closing *,2/16/2001,4/16/2001,OPELIKA FOUNDRY COMPANY,Opelika,71
Closing *,2/12/2001,4/13/2001,"TRINITY INDUSTRIES, INC.",Montgomery,225
Closing *,1/13/2001,4/13/2001,GOLDEN ROD BROILERS,Greensboro,179
Closing *,2/12/2001,4/13/2001,INTERNATIONAL WIRE,Elkmont,33
Closing *,2/12/2001,4/13/2001,INTERNATIONAL WIRE,Ardmore,29
Layoff *,2/1/2001,2/5/2001,CONAGRA POULTRY COMPANY,Enterprise,100
Closing *,1/29/2001,3/27/2001,"A-1 MANUFACTURING CO., INC.",Brilliant,77
Closing *,1/23/2001,3/23/2001,"MI-TECH STEEL, INC.",Decatur,65
Closing *,1/18/2001,4/30/2001,THERMO KING,Montgomery,200
Closing *,1/22/2001,3/9/2001,"CULP, INC.",Wetumpka,122
Layoff *,1/18/2001,3/19/2001,PILLIOD FURNITURE INC.,Selma,165
Closing *,1/17/2001,3/17/2001,PACIFICORP SYN FUEL LLC,Quinton,64
Closing *,11/14/2001,1/13/2002,"VF JEANSWEAR, RED BAY",Red Bay,273
Closing *,11/14/2001,1/13/2002,"VF JEANSWEAR, RUSSELLVILLE",Russellville,574
Closing *,11/14/2001,1/13/2002,"VF JEANSWEAR, ONEONTA",Oneonta,681
Closing *,11/14/2001,1/13/2002,"VF JEASWEAR, FLORENCE",Florence,434
Closing *,11/14/2001,1/13/2002,"VF JEANSWEAR, HANCEVILLE",Hanceville,217
Layoff *,11/7/2001,1/6/2002,THE PHILLIPS-VAN HEUSEN CORP.,Ozark,102
Closing *,11/6/2001,1/1/2002,AMERICAN FINE WIRE,Selma,53
Layoff *,11/2/2001,1/1/2002,BOWATER-COOSA PINES OPERATIONS,Coosa Pines,314
Layoff *,10/29/2001,12/28/2001,ACORDIS INDUSTRIAL FIBERS,Scottsboro,263
Closing *,10/24/2001,12/23/2001,"INTERMET-ALEX CITY CASTING COMPANY, INC.",Alexander City,117
Closing *,10/2/2001,11/30/2001,"PROMOWERKS, INC.",Phenix City,15
Closing *,10/4/2001,11/15/2001,"DANA CORPORATION, RIDE & CONTROL SYSTEMS",Anniston,24
Layoff *,10/1/2001,10/26/2001,RUSSELL CORP. (TEXTILE/ATHLETIC'S OPERATIONS),Alexander City,150
Closing *,8/20/2001,10/19/2001,ARVINMERITOR INC.,Fayette,371
Closing *,8/9/2001,4/14/2001,"TNS MILLS, INC.",Eufaula,132
Closing *,8/6/2001,7/6/2001,SCOTTSBORO ALUMINUM,Scottsboro,450
Closing *,8/3/2001,8/10/2001,"HY-TOP SPORTSWEAR, INC.",Geraldine,70
Layoff *,8/2/2001,9/30/2001,"NEW TECHNOLOGY, INC.",Huntsville,114
Layoff *,7/19/2001,9/15/2001,HILTON CORPORATE CASUALS,Thomasville,131
Layoff *,7/16/2001,9/14/2001,TEE JAYS,Florence,660
Closing *,7/6/2001,6/18/2001,"A.J. GERRARD COMPANY, INC.",Florence,95
Closing *,7/9/2001,9/7/2001,HEALTHTEX,Centreville,296
Closing *,6/29/2001,7/9/2001,PILLOWTEX CORPORATION,Phenix City,56
Closing *,6/29/2001,7/31/2001,AMERICAN NONWOVEN CORPORATION,Talladega,40
Closing *,6/26/2001,6/26/2001,EVENFLO,Jasper,88
Closing *,6/8/2001,6/30/2001,RUSSELL CORPORATION-HI-TECH SEWING PLANT,Alexander City,169
Closing *,6/8/2001,7/15/2001,RUSSELL CORPORATION-COOSA RING SPINNING PLANT,Alexander City,145
Closing *,6/8/2001,6/30/2001,RUSSELL CORPORATION-JERZEES SEWING PLANT,Lafayette,220
Closing *,6/8/2001,6/30/2001,RUSSELL CORPORATION-TEXTILE PLANT,Sylacauga,265
Closing *,5/24/2001,6/8/2001,LOUISIANA PACIFIC CORPORATION,Evergreen,67
Layoff *,5/29/2001,7/23/2001,"SILICON GRAPHICS, INC. (SGI)",Huntsville,38
Closing *,5/24/2001,7/20/2001,HEILIG-MEYERS FURNITURE,Russellville,76
Closing *,5/10/2001,7/1/2001,GREIF BROTHERS CORPORATION,Cullman,67
Closing *,5/3/2001,5/2/2001,M. FINE & SON,Killen,35
Closing *,4/20/2001,8/31/2001,INTERNATIONAL WIRE,Elkmont,63
Closing *,3/27/2001,3/22/2001,"TRICO STEEL COMPANY, LLC",Decatur,260
Layoff *,3/26/2001,6/15/2001,GULF STATES PAPER CORPORATION,Maplesville,231
Closing *,3/26/2001,3/16/2001,"DEFENDER SERVICES, INC. (FAYETTE MFG CO)",Fayette,168
Layoff *,3/14/2001,10/9/2001,"ABC-NACO, INC.",Calera,300
Closing *,3/14/2001,5/9/2001,GOLDEN RULE PRINTING,Huntsville,60
Closing *,3/15/2001,3/30/2001,"UNION YARN MILLS, INC.",Jacksonville,200
Closing *,3/5/2001,3/26/2001,DOUBLE SPRINGS CORPORATION,Double Springs,93
Closing *,3/1/2001,4/30/2001,"SCI SYSTEMS, INC.",Arab,337
Layoff *,5/29/2001,6/15/2001,INTERNATIONAL PAPER-MOBILE PACKAGING FACILITY,Mobile,137
Closing *,5/7/2001,5/15/2001,SAPPI LTD.,Mobile,500
Closing *,4/16/2001,4/11/2001,"ACTEL COMMUNICATIONS, INC.",Mobile,175
Closing *,4/3/2001,6/4/2001,"ACORDIS CELLULOSIC FIBERS, INC.",Axis,324
Closing *,7/11/2001,9/15/2001,CINGULAR WIRELESS,Mobile,89
Closing *,12/18/2000,12/18/2000,FAIRPOINT COMMUNICATIONS SOLUTIONS CORP.,Birmingham,60
Closing *,8/3/2000,10/5/2000,KMART CORPORATION,Bessemer,104
Closing *,8/2/2000,10/1/2000,"GUZZLER MANUFACTURING, INC.",Birmingham,115
Closing *,7/5/2000,9/1/2000,UNIPRISE,Birmingham,154
Layoff *,5/12/2000,7/17/2000,GRIFFIN WHEEL COMPANY,Bessemer,117
Closing *,4/27/2000,5/19/2000,COMDATA,Birmingham,120
Closing *,3/27/2000,5/15/2000,DANKA OFFICE IMAGING COMPANY,Birmingham,52
Closing *,3/13/2000,6/7/2000,KMART CORPORATION,Birmingham,89
Closing *,2/28/2000,3/25/2000,U.S. AIRWAYS,Birmingham,39
Closing *,2/28/2000,10/15/1999,TENET PHYSICIAN SERVICES,Birmingham,76
Closing *,12/4/2000,2/5/2001,PACKARD-HUGHES INTERCONNECT,Robertsdale,475
Closing *,11/30/2000,12/1/2000,DORSEY TRAILERS,Elba,650
Closing *,12/5/2000,11/29/2000,LOUISIANA- PACIFIC CORPORATION,Clayton,225
Closing *,11/27/2000,12/15/2000,AMETEK PRESTOLITE MOTORS USA,Decatur,250
Layoff *,11/22/2000,1/20/2001,"JOHNSTON INDUSTRIES, INC.",Phenix City,175
Closing *,11/9/2000,11/9/2000,"ALICEVILLE COTTON MILL, INC.",Aliceville,170
Layoff *,11/7/2000,1/6/2001,TALLADEGA COLLEGE,Talladega,51
Closing *,10/30/2000,12/31/2000,"LIBERTY TROUSER, INC",Boaz,85
Closing *,10/20/2000,12/22/2000,"WAVERLEE HOMES, INC.",Tuscumbia,140
Layoff *,10/23/2000,12/31/2000,"INTERNATIONAL PAPER, INC.",Courtland,400
Layoff *,10/17/2000,12/14/2000,CMI INDUSTRIES INC.,Geneva,420
Closing *,10/11/2000,12/2/2000,BEAULIEU-COLUMBUS MILLS,Phenix City,122
Closing *,10/10/2000,10/9/2000,RUSSELL YARNS,Alexander City,90
Closing *,10/17/2000,12/3/2000,"CRAFTWOOD DESIGN, INC.",Haleyville,80
Closing *,10/5/2000,10/6/2000,"WINFIELD COTTON MILL, INC.",Winfield,215
Layoff *,9/18/2000,10/13/2000,CITATION MARION,Marion,110
Layoff *,8/23/2000,10/31/2000,DANA CORPORATION-SPICER TRAILER PRODUCTS DIV.,Montgomery,60
Layoff *,8/16/2000,10/15/2000,"ANSELL HEALTHCARE PRODUCTS, INC.",Dothan,128
Closing *,8/7/2000,10/5/2000,"KMART CORPORATION, BREWTON",Brewton,85
Closing *,8/7/2000,8/8/2000,"GULF STATES STEEL, INC.",Gadsden,1690
Closing *,7/26/2000,9/5/2000,"RUST CONSTRUCTORS, INC.",Decatur,65
Closing *,7/18/2000,9/30/2000,MCQUAY INTERNATIONAL,Scottsboro,336
Closing *,5/10/2000,9/25/2000,ARROW SHIRT,Albertville,295
Closing *,6/28/2000,9/8/2000,"HAGER HINGE, INC.",Oxford,75
Closing *,6/1/2000,7/31/2000,"BUCCANEER HOMES, INC.",Winfield,96
Closing *,5/18/2000,5/18/2000,REDMAN HOMES,Eastaboga,226
Layoff *,5/10/2000,2/10/2000,FONTAINE TRAILER COMPANY,Haleyville,81
Closing *,5/2/2000,4/30/2000,"NC INDUSTRIES, INC.",Arley,134
Closing *,5/1/2000,6/30/2000,BEAULIEU OF AMERICA,Union Springs,91
Closing *,5/1/2000,6/30/2000,"LAIDLAW TRANSIT, INC.",Tuscaloosa,57
Closing *,4/12/2000,4/12/2000,SHOREWOOD PACKAGING CORPORATION,Andalusia,93
Closing *,4/12/2000,6/30/2000,BOSS MANUFACTURING COMPANY,Greenville,91
Closing *,3/31/2000,5/31/2000,"AMOTEX, INC.",Centre,55
Closing *,3/16/2000,3/15/2000,AMERICAN HOMESTAR CORPORATION,Brilliant,193
Closing *,3/23/2000,4/3/2000,TELEDYNE TUNGSTEN PRODUCTS,Huntsville,77
Closing *,3/10/2000,5/15/2000,VANITY FAIR INTIMATES,Jackson,543
Closing *,3/6/2000,3/17/2000,"RUSSELL CORPORATION, ASHLAND",Ashland,210
Closing *,3/6/2000,5/8/2000,BERRYDIRECT,Birmingham,85
Closing *,3/6/2000,4/28/2000,COATS NORTH AMERICA,Anniston,214
Layoff *,2/22/2000,4/21/2000,KLEINERT'S INC. OF ALABAMA,Elba,100
Closing *,2/4/2000,3/3/2000,"RUSSELL CORPORATION, GENEVA",Geneva,207
Closing *,2/4/2000,4/3/2000,"GLENN ENTERPRISES, INC.",Sulligent,163
Closing *,1/10/2000,3/6/2000,"CENTURY CARTONS, INC.",Livingston,80
Closing *,12/14/2000,2/12/2001,"SOUTHERN ENERGY RESOURCES, INC.",Mobile,66
Closing *,10/30/2000,12/31/2000,SPECIALTY MINERALS,Chickasaw,5
Closing *,10/18/2000,12/31/2000,INTERNATIONAL PAPER COMPANY,Mobile,790
Closing *,6/1/2000,9/30/2000,"BARBER DAIRIES, INC.",Mobile,70
Closing *,2/11/2000,5/10/2000,"RUBY TUESDAY, INC.",Mobile,160
Closing *,1/28/2000,1/28/2000,CHARTER HOSPITAL OF MOBILE,Mobile,112
Closing *,10/12/1999,10/22/1999,JUST FOR FEET,Birmingham,594
Layoff *,9/27/1999,11/23/1999,DRUMMOND COMPANY-SHOAL CREEK,Adger,350
Closing *,9/9/1999,9/9/1999,HOME QUARTERS,Birmingham,84
Closing *,9/9/1999,9/9/1999,HOME QUARTERS,Hoover,68
Layoff *,8/3/1999,9/28/1999,MEDPARTNERS,Birmingham,200
Closing *,6/14/1999,7/1/1999,INTER-NATIONAL CHILDRENSWEAR,Birmingham,50
Layoff *,8/20/1999,11/1/1999,"SONY MAGNETIC PRODUCTS, INC.",Dothan,250
Closing *,8/10/1999,10/1/1999,COMMUNICATIONS TECHNOLOGY CORPORATION,Madison,65
Closing *,8/2/1999,10/1/1999,"CLUETT, PEABODY & CO., INC.",Enterprise,273
Closing *,7/23/1999,9/30/1999,"NORTHROP GRUMMAN TECHNICAL SERVICES, INC.",Redstone Arsenal,396
Closing *,7/1/1999,8/30/1999,"TREAT ENTERTAINMENT, INC.",Florence,76
Closing *,5/26/1999,9/1/1999,"LONDON INTERNATIONAL GROUP, LLC",Dothan,500
Closing *,6/16/1999,8/16/1999,SHAPE GLOBAL TECHNOLOGY INC.,Dadeville,113
Layoff *,6/4/1999,7/1/1999,SCHNEIDER NATIONAL CARRIERS,Evergreen,91
Closing *,6/4/1999,7/1/1999,"INTER-NATIONAL CHILDRENSWEAR, LLC",Snead,50
Closing *,6/4/1999,6/8/1999,"PRAEGITZER INDUSTRIES, INC.",Madison,195
Closing *,5/28/1999,7/25/1999,FLORENCE HOSPITAL,Florence,205
Layoff *,5/27/1999,5/28/1999,"S & C BEEF PROCESSORS, L.L.C.",Montgomery,650
Layoff *,5/17/1999,7/31/1999,"WEX TEX INDUSTRIES, INC.",Ashford,90
Closing *,5/3/1999,6/30/1999,RUSSELL CORPORATION-GREENVILLE,Greenville,252
Closing *,4/3/1999,6/30/1999,BAPTIST MEDICAL CENTER-DOWNTOWN,Montgomery,12
Closing *,4/22/1999,7/1/1999,ALL LOCK COMPANY INC.,Selma,315
Closing *,12/12/1999,2/10/1999,MARTIN INDUSTRIES,Huntsville,121
Closing *,11/29/1999,11/29/1999,CINTAS CORPORATION,Stevenson,91
Closing *,11/22/1999,1/26/2000,KMART CORPORATION,Bay Minette,33
Closing *,11/1/1999,11/24/1999,"RUSSELL CORP., COLUMBIA",Columbia,235
Closing *,9/29/1999,11/23/1999,DRUMMOND COMPANY-CEDRUM MINE,Townley,165
Closing *,9/9/1999,9/10/1999,RUSSELL CORP. WETUMPKA AUTO SEW,Wetumpka,117
Layoff *,9/9/1999,9/10/1999,RUSSELL CORP. BRUNDIDGE,Brundidge,297
Closing *,9/9/1999,9/9/1999,HOME QUARTERS,Montgomery,79
Closing *,9/9/1999,9/9/1999,BUILDERS SQUARE,Huntsville,68
Closing *,3/31/1999,6/30/1999,"JOHNSON CONTROLS, INC.",Fort McClellan,112
Closing *,3/22/1999,5/21/1999,REFORM MANUFACTURING COMPANY,Reform,269
Closing *,3/16/1999,6/1/1999,"MEDLINE INDUSTRIES, INC.",Pell City,75
Closing *,3/9/1999,5/7/1999,SALANT CORPORATION,Andalusia,188
Closing *,3/18/1999,5/7/1999,"TRAIL KING INDUSTRIES, INC.",Green Pond,54
Closing *,3/16/1999,4/30/1999,"ONEITA INDUSTRIES, INC.",Cullman,311
Closing *,3/16/1999,3/19/1999,"ONEITA INDUSTRIES, INC.",Fayette,355
Layoff *,3/3/1999,5/3/1999,NIEMAND INDUSTRIES,Marion,81
Layoff *,3/2/1999,4/30/1999,"DILLARD'S, INC.",Montgomery,47
Layoff *,2/4/1999,2/11/1999,FRISCO MANUFACTURING COMPANY,Frisco City,67
Closing *,2/1/1999,4/14/1999,KMART,Selma,71
Closing *,1/22/1999,2/15/1999,RUSSELL CORP.-WETUMPKA,Wetumpka,90
Closing *,1/25/1999,4/30/1999,COLUMBUS MILLS,Phenix City,175
Closing *,1/22/1999,3/21/1999,MONTGOMERY WARD & CO.,Dothan,59
Closing *,1/5/1999,3/12/1999,"BARBER DAIRIES, INC.",Montgomery,76
Closing *,11/1/1999,12/30/1999,"DILLARD'S, INC., DISTRIBUTION CENTER",Mobile,137
Layoff *,8/30/1999,10/1/1999,"INTERNATIONAL PAPER CO., BAG PLANT",Mobile,151
Layoff *,4/7/1999,7/17/1999,KIMBERLY-CLARK,Mobile,500
Closing *,1/28/1999,3/31/1999,TENCEL-ACORDIS FIBERS,Axis,96
Closing *,1/22/1999,3/21/1999,MONTGOMERY WARD & CO.,Mobile,81
Closing *,10/5/1998,12/1/1998,DRUMMOND COMPANY,Graysville,88
Closing *,12/9/1998,2/5/1999,PILLOWTEX CORPORATION,Opelika,473
Closing *,11/19/1998,11/22/1998,"RUST CONSTRUCTORS, INC.",Decatur,282
Closing *,11/10/1998,8/31/1998,"AMERICAN APPAREL, INC.",Brantley,91
Closing *,10/30/1998,10/28/1998,"IMAGEWARE TECHNOLOGIES, L.L.C.",Opelika,116
Closing *,11/3/1998,12/31/1998,AUBURN SPORTSWEAR,Tallassee,82
Closing *,11/2/1998,3/31/1999,REYNOLDS METALS COMPANY,Muscle Shoals,1600
Closing *,10/30/1998,12/31/1998,DOTHAN INDUSTRIES,Dothan,89
Closing *,10/29/1998,12/20/1998,WALLS INDUSTRIES-LIBERTY TROUSERS,Ashville,69
Layoff *,10/6/1998,10/30/1998,RUSSELL CORP.(SYLACAUGA),Sylacauga,300
Closing *,9/25/1998,10/9/1998,ARCON HEALTH CARE,Heflin,39
Closing *,9/25/1998,12/11/1998,LUVERNE SLACKS COMPANY,Luverne,156
Closing *,9/15/1998,12/14/1998,THE GATES RUBBER COMPANY,Dothan,100
Closing *,8/25/1998,11/10/1998,RHEEM MANUFACTURING COMPANY,Greenville,295
Closing *,8/20/1998,10/18/1998,EARTHGRAINS BAKING,Montgomery,104
Closing *,8/14/1998,10/13/1998,"GAYFERS, MONTGOMERY DISTRIBUTION CENTER",Montgomery,100
Closing *,8/13/1998,8/12/1998,RUSSELL CORPORATION-SLOCOMB,Slocomb,200
Closing *,7/28/1998,10/1/1998,"CHOCTAW MANUFACTURING COMPANY, INC.",Silas,120
Closing *,7/28/1998,7/10/1998,"BUILDERS TRANSPORT, INC.",Cuba,149
Layoff *,7/22/1998,10/1/1998,DYNCORP.,Fort Rucker,1855
Layoff *,7/14/1998,9/18/1998,LIBERTY TROUSERS-WALLS INC.,Anniston,78
Layoff *,12/8/1998,2/1/1998,INTERNATIONAL PAPER,Mobile,450
Closing *,8/14/1998,10/13/1998,"GAYFERS, SOUTH GROUP OFFICE",Mobile,250
