Company,City,Zip Code,LWIB Area,Notice Date
NEW  ,Hays  ,67601  ,1  ,01/31/2012 
New World Pasta  ,Harrisburg PA  ,17112  ,3  ,06/03/1999 
NLX Corporation  ,Wichita  ,67221  ,4  ,07/31/2002 
Nordam Group  ,Wichita  ,67226  ,4  ,04/14/2009 
Nordam Group  ,Wichita  ,67226  ,4  ,04/20/2009 
"NORDAM Group, Inc.  ",Wichita  ,67226  ,4  ,01/10/2014 
Northrop Brumman  ,Topeka  ,66619  ,2  ,10/31/2012 
Northwest Pipe Company  ,Atchison  ,66002  ,2  ,04/06/2015 
Nu Wa Industries Inc.  ,Chanute  ,66720  ,5  ,08/21/2008 
"Nu Wa Industries, Inc.  ",Chanute  ,66720  ,5  ,11/06/2008 
NuComm International  ,Wichita  ,672091630  ,4  ,07/23/2007 
NWI Kansas City LLC  ,Edgerton  ,66021  ,3  ,03/19/2019 
"Optima Bus Corp., LLC  ",Valley Center  ,67147  ,4  ,06/06/2007 
Orval Kent  ,Baxter Springs  ,66713  ,5  ,12/09/2011 
"OS Restaurant Services, LLC  ",Tampa  ,33607  ,4  ,04/27/2020 
Osborn Group Inc.  ,Olathe  ,66062  ,3  ,08/31/2001 
Owens Corning  ,Kansas City  ,66115  ,3  ,11/03/2010 
"Pacific Sunwear of California, LLC  ",Olathe  ,66062  ,3  ,10/23/2018 
Padgett Thompson Seminar Division  ,Leawood  ,66211  ,3  ,06/25/2002 
Paper Source  ,Leawood  ,66209  ,3  ,03/27/2020 
Parkview Passages Residential Treatment Center  ,Topeka  ,66606  ,2  ,01/28/2000 
Payless Shoesource  ,Topeka  ,66618  ,2  ,11/11/2008 
Payless Shoesource  ,Topeka  ,66607  ,2  ,01/26/2018 
Payless Shoesource  ,Topeka  ,66607  ,2  ,11/16/2017 
"Payless ShoeSource, Inc.  ",Topeka  ,66607  ,2  ,02/19/2019 
"PCCS, Inc.  ",Plainville  ,67663  ,1  ,01/20/2003 
Pegasus  ,Lenexa  ,66219  ,3  ,09/15/2004 
Pegasus Satellite Television  ,Lenexa  ,66219  ,3  ,08/02/2004 
Penske  ,Kansas City  ,66106  ,3  ,06/20/2014 
"Penske Logistics, Inc.  ",Kansas City  ,64114  ,3  ,06/25/2002 
"Penske Logistics, Inc.  ",Manhattan  ,66502  ,2  ,06/25/2002 
"Penske Logistics, Inc.  ",Wichita  ,67209  ,4  ,06/25/2002 
People's Inc.  ,Overland Park  ,66213  ,3  ,09/18/2017 
"Pfizer, Inc.  ",Overland Park  ,66210  ,3  ,12/14/2009 
"Physician Resources, Inc.  ",Kansas City  ,66112  ,3  ,03/28/2003 
"Pillsbury Bakeries, Food Service  ",Lenexa  ,66219  ,3  ,05/04/1999 
"Pinnacle Heathcare System, Inc.  ",Overland Park  ,66213  ,3  ,04/10/2020 
Pizza Hut  ,Overland Park  ,66212  ,3  ,05/01/2008 
PolyOne  ,Wichita  ,67277  ,4  ,02/03/2016 
Precision Dynamics Corporation  ,Belleville  ,66935  ,1  ,05/30/2003 
"Premiere Global Services, Inc.  ",Olathe  ,66061  ,3  ,05/21/2018 
"Premium Water, Inc.  ",Kansas City  ,66106  ,3  ,09/05/2012 
Principal Financial Group  ,Overland Park  ,66210  ,3  ,10/22/2010 
"Principal Residential Mortgage, Inc.  ",Overland Park  ,66210  ,3  ,06/30/2004 
PrintXcel of Cenveo Corp  ,Girard  ,66743  ,5  ,03/21/2007 
Progress Rail Services  ,Lawrence  ,66046  ,2  ,10/14/2008 
Proliance  ,Emporia  ,66801  ,5  ,07/25/2005 
Provell  ,Junction City  ,66441  ,2  ,10/29/2002 
Providence Health  ,Kansas City  ,66112  ,3  ,12/13/2002 
QTG  ,Manhattan  ,665025023  ,2  ,12/01/2008 
QuadGraphics  ,Lenexa  ,66215  ,3  ,01/28/2016 
RA Sushi  ,Leawood  ,66211  ,3  ,04/02/2020 
Ramada Inn  ,Hutchinson  ,,1  ,02/12/1999 
Ray E. Dillon Living Center  ,Hutchinson  ,67502  ,1  ,07/07/2016 
Ray E. Dillon Living Center  ,Hutchinson  ,67502  ,1  ,07/07/2016 
Raytheon  ,Wichita  ,67201  ,4  ,02/01/2002 
Raytheon  ,Salina  ,67401  ,1  ,09/20/2004 
Raytheon  ,Wichita  ,67201  ,4  ,02/17/2005 
Raytheon  ,Wichita  ,67201  ,4  ,12/05/2003 
Raytheon  ,Wichita  ,67201  ,4  ,07/18/2005 
Raytheon  ,Wichita  ,67201  ,4  ,07/01/2005 
Raytheon Aircraft Company  ,Wichita  ,67201  ,4  ,08/29/2005 
Raytheon Aircraft Company  ,Wichita  ,67201  ,4  ,09/26/2005 
Raytheon Aircraft Company  ,Wichita  ,67201  ,4  ,10/10/2005 
Raytheon Aircraft Company  ,Wichita  ,67201  ,4  ,05/23/2005 
Raytheon Aircraft Company  ,Wichita  ,67201  ,4  ,06/20/2005 
Raytheon Aircraft Company  ,Salina  ,67201  ,4  ,05/09/2005 
Raytheon Aircraft Company  ,Wichita  ,67201  ,4  ,04/11/2005 
"Ready Set Service, LLC  ",Elk Grove  ,60007  ,2  ,08/18/2009 
Regal Cinemas  ,Wichita  ,67206  ,4  ,04/29/2020 
Regal Cinemas  ,Wichita  ,67205  ,4  ,04/29/2020 
"Results Customer Solutions, LLC  ",Salina  ,67401  ,1  ,09/22/2011 
"RG Steel, LLC  ",Lenexa  ,66215  ,3  ,04/23/2012 
"Rhodes Grocery, Inc.  ",Parsons  ,67357  ,5  ,12/27/2004 
"Rhodes Grocery, Inc.  ",Chanute  ,66720  ,5  ,01/08/2005 
"Risk Management Alternatives, Inc.  ",Ottawa  ,66067  ,2  ,07/01/2004 
"Ritz Camera Centers, Inc.  ",Topeka  ,66618  ,2  ,07/24/2009 
Royal Oakes  ,Chetopa  ,67336  ,5  ,05/20/2015 
RS Staffing Services  ,Leavenworth  ,66048  ,3  ,09/10/2003 
RSI Home Products  ,Columbus  ,66725  ,5  ,07/22/2011 
Rubbermaid Home Products  ,Winfield  ,67156  ,4  ,08/03/2005 
Rusty Eck Ford  ,Wichita  ,67207  ,4  ,03/24/2020 
"Rusty Eck Ford, Inc.  ",Wichita  ,67207  ,4  ,03/24/2020 
Ryan International Airlines  ,Wichita  ,672021504  ,4  ,05/12/2006 
Ryan International Airlines  ,Wichita  ,672021504  ,4  ,05/12/2006 
Safelite Glass Corp.  ,Wichita  ,67214  ,4  ,04/27/2005 
SAI Automotive  ,Kansas City  ,66111  ,3  ,04/27/1999 
SAIC - From Science to Solutions  ,Lenexa  ,66219  ,3  ,11/13/2007 
Saint Luke's Cushiing Hospital  ,Leavenworth  ,66048  ,3  ,09/25/2019 
Sallie Mae  ,Lawrence  ,,2  ,01/28/1999 
Sara Lee Bakery Group  ,Hutchinson  ,67501  ,1  ,10/29/2004 
"Schenker, Inc.  ",Wichita  ,67210  ,4  ,01/21/2020 
Schuff Steel Midwest  ,Ottawa  ,66067  ,2  ,03/24/2010 
Schult Homes  ,Plainville  ,67663  ,1  ,01/30/2004 
"Schult Homes and CMH Manufacturing IN.,  ",Plainville  ,67663  ,1  ,01/21/2008 
"Seaborn Health Care, Inc.  ",Leavenworth  ,66048  ,3  ,09/02/2005 
Sears Holding  ,Overland Park  ,66212  ,3  ,06/22/2017 
Sears Holdings  ,Lenexa  ,66219  ,3  ,02/26/2009 
"Sears, Roebuck and Company  ",Tucker  ,300845006  ,3  ,06/15/2006 
Select Medical Corporation  ,Topeka  ,66606  ,2  ,03/04/2015 
"ServiceLink NLS, LLS  ",Overland Park  ,66221  ,3  ,06/24/2015 
"ServiceLink NLS, LLS  ",Overland Park  ,66211  ,3  ,06/24/2015 
Sheraton Overland Park Hotel  ,Overland Park  ,66211  ,3  ,06/01/2020 
Shoney's Distribution Center  ,Wichita  ,,4  ,10/21/1998 
Siemens  ,Hutchinson  ,67501  ,1  ,09/01/2017 
Siemens  ,Hutchinson  ,67501  ,1  ,09/18/2012 
SKF USA Inc.  ,Seneca  ,66538  ,2  ,10/24/2017 
Skyline Corporation  ,Halstead  ,67056  ,1  ,09/15/2009 
"SM&P Utility Resources, Inc.  ",Andover  ,67002  ,4  ,12/11/2002 
Snorkel  ,Elwood  ,66024  ,2  ,11/04/2008 
Snorkel  ,Elwood  ,66024  ,2  ,07/22/2009 
Snorkel International Inc.  ,Elwood  ,66024  ,2  ,04/10/2009 
Snorkel/OmniQuip Textron Inc.  ,"Elwood,  ",,2  ,06/17/2001 
Sodexho Health Care Services  ,Eagan  ,55121  ,3  ,10/27/2003 
"Sodexo, Inc.  ",Wichita  ,67260  ,4  ,05/01/2017 
"Sodexo, Inc.  ",Manhattan  ,66506  ,2  ,10/31/2015 
Southern Bag Corportation  ,Little Rock AR  ,72211  ,5  ,10/06/1999 
Southern Education Council  ,Pratt  ,67124  ,1  ,01/11/2000 
Southwestern Bell  ,Topeka  ,66603  ,2  ,01/16/2003 
Southwestern Bell  ,Wichita  ,67201  ,4  ,08/27/2002 
"Southwire, LLC  ",Coffeyville  ,67337  ,5  ,03/24/2014 
Spiegel Group Telemarketing Service Inc.  ,Wichita  ,67207  ,4  ,03/12/2002 
Spirit Aerosystems  ,Wichita  ,67210  ,4  ,09/12/2013 
"Spirit AeroSystems, Inc  ",Wichita  ,67210  ,4  ,05/01/2020 
"Spirit AeroSystems, Inc.  ",Wichita  ,67210  ,4  ,01/10/2020 
Sportsman's Warehouse  ,Wichita  ,67207  ,4  ,03/11/2009 
Sprint  ,Olathe  ,66215  ,3  ,07/30/2009 
Sprint  ,Overland Park  ,66251  ,3  ,03/20/2009 
Sprint  ,Lenexa  ,66219  ,3  ,01/25/2008 
Sprint  ,Overland Park  ,66215  ,3  ,04/04/2008 
Sprint  ,Overland Park  ,66251  ,3  ,01/15/2003 
Sprint  ,Overland Park  ,66219  ,3  ,03/06/2003 
Sprint  ,Overland Park  ,66251  ,3  ,05/25/2018 
Sprint  ,Overland Park  ,66251  ,3  ,03/09/2018 
Sprint  ,Overland Park  ,66251  ,3  ,03/20/2018 
Sprint  ,Overland Park  ,66251  ,3  ,09/23/2013 
Sprint  ,Overland Park  ,66251  ,3  ,03/18/2014 
Sprint  ,Overland Park  ,66251  ,3  ,10/17/2014 
Sprint  ,Overland Park  ,66251  ,3  ,11/14/2014 
Sprint  ,Overland Park  ,66251  ,3  ,04/26/2016 
Sprint  ,Overland Park  ,66251  ,3  ,01/22/2016 
Sprint  ,Overland Park  ,66251  ,3  ,01/16/2015 
Sprint  ,Overland Park  ,66251  ,3  ,04/10/2015 
Sprint  ,Overland Park  ,66251  ,3  ,08/28/2015 
Sprint Corporation  ,Overland Park  ,66251  ,3  ,10/17/2001 
Sprint Nextel  ,Overland Park  ,66251  ,3  ,02/03/2009 
St. Joseph Memorial Hospital  ,Larned  ,67550  ,1  ,06/15/2009 
St. Rose Ambulatory & Surgery Center  ,Great Bend  ,67530  ,1  ,08/27/2014 
St. Rose Ambulatory and Surgery Center  ,Garden City  ,67846  ,1  ,08/26/2014 
Stanley-Goldblatt Tools  ,Kansas City  ,,3  ,11/18/1998 
Staples  ,Lenexa  ,66215  ,3  ,04/29/2009 
Sumner Community Hospital  ,Wellington  ,66048  ,4  ,03/12/2020 
Sun Microsystems  ,Santa Clara  ,95054  ,3  ,03/30/2009 
Suntron  ,Ottawa  ,66067  ,2  ,08/07/2002 
Suntron - Midwest Operation  ,Olathe  ,66062  ,3  ,09/08/2006 
"Superior Industries International, Inc.  ",Pittsburg  ,66762  ,5  ,08/19/2008 
Sykes  ,Hays  ,67601  ,1  ,01/20/2004 
Sykes  ,Hays  ,67601  ,1  ,04/13/2004 
"Sykes Enterprises, Inc.  ",Manhattan  ,66503  ,2  ,04/06/2004 
T-Mobile  ,Lenexa  ,66219  ,3  ,03/22/2012 
T-Mobile  ,Overland Park  ,66251  ,3  ,06/17/2020 
Taylor Communications  ,Wichita  ,67215  ,4  ,02/27/2019 
TeleTech  ,Topeka  ,66603  ,2  ,01/27/2004 
Teletech  ,Kansas City  ,66101  ,3  ,05/09/2003 
TeleTech  ,Kansas City  ,66102  ,3  ,04/09/2003 
Teletech  ,Kansas City  ,66102  ,3  ,04/15/2003 
Terex Cranes  ,Olathe  ,66061  ,3  ,04/16/2003 
"Teva Pharmaceuticals USA, Inc.  ",Overland Park  ,66211  ,3  ,01/25/2018 
Textron Aviation  ,Wichita  ,67215  ,4  ,04/23/2014 
The Alzheimer's Center of Kansas City  ,Kansas City  ,66104  ,3  ,12/27/2004 
The Boeing Company  ,Wichita  ,67277  ,4  ,03/11/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,3/18/2005
The Boeing Company  ,Wichita  ,67277  ,4  ,03/25/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,04/29/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,05/06/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,04/01/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,04/08/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,04/15/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,04/22/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,06/24/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,06/07/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,06/17/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,05/20/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,05/13/2005 
The Boeing Company  ,WICHITA  ,67277  ,4  ,06/24/2002 
The Boeing Company  ,Wichita  ,67277  ,4  ,11/25/2002 
The Boeing Company  ,Wichita  ,67277  ,4  ,09/23/2002 
The Boeing Company  ,Wichita  ,67277  ,4  ,08/26/2002 
The Boeing Company  ,Wichita  ,67277  ,4  ,08/09/2002 
The Boeing Company  ,Wichita  ,67218  ,4  ,08/21/2006 
The Boeing Company  ,Wichita  ,67277  ,5  ,01/23/2006 
The Boeing Company  ,Wichita  ,672777730  ,4  ,12/16/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,09/16/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,08/19/2005 
The Boeing Company  ,Wichita  ,67277  ,4  ,11/11/2005 
The Boeing Company  ,Wichita  ,672777730  ,4  ,01/24/2007 
The Boeing Company  ,Wichita  ,672777730  ,4  ,11/21/2006 
The Boeing Company  ,Wichita  ,67277  ,4  ,04/18/2006 
The Carriage House  ,Kansas City  ,66106  ,3  ,05/20/2004 
The Coleman Company  ,Wichita  ,67101  ,4  ,12/02/2003 
the Marriott Kansas City  ,Overland Park  ,66210  ,3  ,03/27/2020 
The Menninger Clinic  ,Topeka  ,66601  ,2  ,02/18/2003 
The Menninger Clinic  ,Topeka  ,66601  ,2  ,12/28/2000 
The North Face  ,Lenexa  ,66219  ,3  ,04/10/2006 
The Signature Group  ,"Schaumburg, IL  ",60173  ,3  ,07/26/1999 
The Wichita Eagle  ,Wichita  ,67202  ,4  ,03/15/2016 
The Woodlands  ,Kansas City  ,66109  ,3  ,07/22/2008 
Thomas and Betts  ,Osawatomie  ,,4  ,10/06/1998 
Thte Boeing Company  ,Wichita  ,67277  ,4  ,05/27/2005 
"Tier Technologies, Inc.  ",Topeka  ,66611  ,2  ,03/12/2007 
Topeka Capital Plaza  ,Topeka  ,66612  ,2  ,04/29/2020 
Toys R Us  ,Wichita  ,67207  ,4  ,03/15/2018 
Transamerica Finance  ,Lenexa  ,66219  ,3  ,01/31/2001 
Transervice Lease Corp.  ,Kansas City  ,66106  ,3  ,02/27/2003 
Transform LM LLC  ,Lawrence  ,66044  ,2  ,01/30/2020 
TriStar  ,Augusta  ,,4  ,10/15/1998 
TriWest Healthcare Alliance Corp.  ,Phoenix  ,85053  ,2  ,12/10/2012 
Tweco  ,Wichita  ,67277  ,4  ,11/06/2003 
Tweco  ,Wichita  ,67277  ,4  ,11/06/2003 
Tweco  ,Wichita  ,67277  ,4  ,11/06/2003 
Tweco  ,Wichita  ,67277  ,4  ,10/19/2003 
Tweco  ,Wichita  ,67277  ,4  ,09/15/2003 
Tweco  ,Wichita  ,67277  ,4  ,09/18/2003 
Tweco  ,Wichita  ,67277  ,4  ,09/25/2003 
Tweco  ,Wichita  ,67277  ,4  ,10/13/2003 
Tweco  ,Wichita  ,67277  ,4  ,01/06/2004 
Tweco  ,Wichita  ,67277  ,4  ,01/13/2004 
Tweco  ,Wichita  ,67277  ,4  ,01/19/2004 
Tweco Arcair  ,Wichita  ,67277  ,4  ,12/22/2003 
Tyco Capital Corporation  ,Overland Park  ,66212  ,3  ,02/01/2002 
"Tyson Fresh Meats, Inc.  ",Emporia  ,66801  ,5  ,02/06/2008 
"Tyson Fresh Meats, Inc.  ",Emporia  ,66801  ,5  ,01/25/2008 
Unilever Food Solutions  ,Wichita  ,67217  ,4  ,01/22/2009 
Unilever Food Solutions  ,Wichita  ,67217  ,4  ,03/04/2009 
Union Tank Car Co.  ,El Dorado  ,67042  ,4  ,12/03/2004 
United Airlines  ,Wichita  ,67209  ,4  ,08/01/2014 
Valassis  ,Wichita  ,67226  ,4  ,12/08/2015 
"Valent Aerostructures LLC, dba LMI Aerospace  ",Wichita  ,67216  ,4  ,04/10/2020 
Vanguard Airlines  ,Kansas City  ,64153  ,3  ,07/29/2002 
VECTRON INTERNATIONAL  ,OLATHE  ,66062  ,3  ,02/25/2002 
Verizon  ,Manhattan  ,66503  ,2  ,09/29/2009 
Verizon Wireless  ,Overland Park  ,66212  ,3  ,02/05/2003 
VF Corporation  ,Greensboro  ,27401  ,3  ,04/10/2006 
Via Christi  ,Wichita  ,67203  ,4  ,07/21/2004 
Via Christi Health  ,Wichita  ,67226  ,4  ,02/10/2017 
Via Christi Hospital  ,Pittsburg  ,66762  ,5  ,06/01/2013 
Viking Office Products  ,Wichita  ,67226  ,4  ,01/21/2005 
Visionworks  ,San Antonio  ,78205  ,3  ,04/23/2020 
Visionworks  ,San Antonio  ,78205  ,3  ,04/23/2020 
Waddell & Reed  ,Lenexa  ,66202  ,3  ,07/30/2019 
Walgreens  ,Galena  ,66739  ,5  ,09/10/2012 
Walmart  ,Liberal  ,67901  ,1  ,03/20/2019 
Walmart  ,Derby  ,67037  ,4  ,07/09/2018 
Walmart  ,Wichita  ,67208  ,4  ,01/15/2016 
Walmart  ,Wichita  ,67207  ,4  ,01/15/2016 
Walmart  ,Wichita  ,67203  ,4  ,01/15/2016 
Wards  ,Junction City  ,,2  ,01/22/1999 
"Watts Water Technologies, Inc.  ",Kansas City  ,66615  ,3  ,09/14/2012 
"Windstream Communications, Inc.  ",Salina  ,67401  ,1  ,09/05/2007 
WinterSleiger Inc.  ,Colwich  ,67030  ,4  ,04/15/2009 
"Wittur, Inc.  ",Arkansas City  ,67005  ,4  ,05/18/2004 
Wolferman's  ,Lenexa  ,,3  ,01/18/1999 
Worthington Industries  ,Garden City  ,67846  ,1  ,03/27/2015 
Worthington Industries  ,Garden City  ,67846  ,1  ,04/07/2015 
"XPO Logistics Worldwide, Inc.  ",Edgerton  ,66021  ,3  ,01/24/2019 
Yellow Book USA  ,San Dieogo  ,92111  ,1  ,03/01/2007 
YMCA  ,Wichita  ,67212  ,4  ,03/20/2020 
YRC Worldwide's Norht American Transportation  ,Topeka  ,66611  ,2  ,09/29/2008 
Zumiez  ,Edwardsville  ,66111  ,3  ,12/28/2015
