Date of Notice,Company Name,Location,Affected Workers
6/3/2020,UtahAmerican Energy,East Carbon,268
5/21/2020,Hertz,SLC,76
5/19/2020,Dexter Axle Company,Lehi,109
5/11/2020,Dexter Axle Company,SLC,61
5/1/2020,Hertz,SLC,74
5/1/2020,LendingClub,Lehi,144
5/1/2020,Enterprise,SLC,216
5/1/2020,Core-Mark,SLC,79
4/23/2020,Hexcel Corp.,West Valley,430
4/23/2020,Utility Trailer,Clearfield,492
4/15/2020,Exeter Finance LLC,Clearfield,238
4/15/2020,Backroads Utah,SLC,84
4/15/2020,Cinemark,Statewide,666
4/15/2020,Thumbtack Inc.,Draper,129
4/15/2020,ABM Aviation,SLC,83
4/3/2020,Black Turtle Services,Sandy,195
4/3/2020,Punch Bowl Social,SLC,85
4/3/2020,Simpler Postage,Ogden,20
3/3/2020,Vivint Wireless,Lehi,113
2/13/2020,Walmart,SLC,126
2/5/2020,Solera Holdings,SLC,201
2/4/2020,UPS,SLC,142
2/4/2020,Isagenix,Lehi,140
12/30/2019,Semco Windows & Doors,SLC,17
11/27/2019,"Canopy Tax, Inc.",Lehi,73
8/16/2019,Nestle USA,SLC,52
7/16/2019,Black Diamond,SLC,67
6/11/2019,ABM,SLC,98
6/3/2019,BD Medical,SLC,41
3/26/2019,"LSC Communications US, LLC",St. George,77
10/25/2018,"Toter, LLC",SLC,70
10/22/2018,NetflixCS,SLC,574
10/10/2018,Tesla Energy Operations,Draper,97
10/4/2018,Convergys,Taylorsville,164
9/24/2018,The Results Companies,Provo,300
9/13/2018,Morgan Stanley,South Jordan,90
8/6/2018,Stahls' Full Gear,West Valley City,58
7/23/2018,LSG Sky Chefs,SLC,188
6/26/2018,Western Digital,Holladay,105
6/7/2018,ABM Aviation,SLC,50
4/24/2018,Convergys,Logan,211
4/20/2018,Harman,South Jordan,41
4/5/2018,Easton,SLC,56
2/8/2018,Kencraft Confections,American Fork,77
1/26/2018,ASM Research,SLC,71
1/25/2018,Twinlab Consolidation Corp,American Fork,100
1/16/2018,Walmart,Grantsville,37
1/5/2018,Viracon,St. George,200
12/7/2017,CB&I,Clearfield,195
11/2/2017,Walmart,South Jordan,65
11/1/2017,CenturyLink,Midvale,58
9/6/2017,NCR,Draper,35
7/6/2017,Convergys,Taylorsville,250
5/26/2017,Kellogg's,SLC,247
4/20/2017,TD Ameritrade,Draper,69
3/30/2017,Dollar Express,SLC,38
3/21/2017,Convergys,Orem,130
3/21/2017,Convergys,Ogden,209
3/1/2017,Ogio,Draper,33
2/20/2017,Convergys,Cedar City,77
1/4/2017,Macy's,SLC,96
12/8/2016,Survey Sampling Int,Layton,106
11/30/2016,Amico,Orem,30
9/19/2016,Convergys,South Ogden,230
8/15/2016,Convergys,Orem,85
7/27/2016,Convergys,Taylorsville,220
7/18/2016,Nellson LLC,SLC,193
6/30/2016,UtahAmerican Energy Inc.,East Carbon,165
6/27/2016,Convergys,Orem,156
6/22/2016,Meadow Gold Dairies,Orem,68
6/15/2016,Herff Jones,Logan,180
5/18/2016,Allstate Insurance,Draper,87
5/10/2016,Disney Interactive,SLC,240
5/4/2016,Prosper Healthcare Lending,Draper,96
3/24/2016,SunEdison,Orem,43
3/24/2016,Halliburton Energy Services,Vernal,50
2/4/2016,Quality Bicycle Products,Ogden,34
1/19/2016,CoreLogic,Sandy,67
12/1/2015,Glasses.com,Draper,161
11/30/2015,Tyson Foods,Clearfield,106
11/4/2015,Fidelity Exploration & Production,Moab,20
9/28/2015,Barrick Gold of North America,Salt Lake City,63
9/4/2015,Miller Performance,Tooele,80
8/24/2015,Icon Health & Fitness,Logan,400
8/5/2015,Kellogg Plant,Clearfield,140
6/30/2015,American Express (Amended),Salt Lake City,40
6/3/2015,American Express,Salt Lake City,35
5/20/2015,Energy West Mining Company,Huntington,10
4/30/2015,Fairchild Semiconductor,Salt Lake City,361
4/28/2015,Atwood Mobile Products,Salt Lake City,75
4/21/2015,Cottonwood Treatment Center,South Salt Lake City,178
4/2/2015,Energy West Mining Company,Huntington,41
3/2/2015,Energy West Mining Company,Huntington,95
1/23/2015,CallAssistant,Logan,98
1/23/2015,Strategic Fundraising Inc.,Logan,50
1/7/2015,Shopko,Provo,62
1/7/2015,Shopko,West Bountiful,79
11/11/2014,Survey Sampling International,Orem,115
10/31/2014,RBS Securities Inc.,Taylorsville,30
9/12/2014,Devcon Security Services Corp & ADT LLC,Lindon,60
9/2/2014,"Wells Enterprises, Inc.",St. George,90
8/28/2014,Community Development Institute – Head Start,"Honeyville, Genola, Providence, & Midvale",167
7/28/2014,Xerox Business Services,Salt Lake City,279
4/14/2014,Remington,West Jordan,31
4/4/2014,Aramark at Hertz SLC,Salt Lake City,83
3/25/2014,SuperValu Inc.,Salt Lake City,66
3/18/2014,CenturyLink,Logan,97
03/05/14 Updated,General Dynamics IT,Sandy,645 Revised
2/27/2014,General Dynamics IT,Sandy,621
2/13/2014,Xerox Business Services,Sandy,175
1/22/2014,CenturyLink,Salt Lake City,120
1/30/2014,Electronic Arts Inc.,Salt Lake City,67
12/20/2013,GrubHub Seamless Inc.,Sandy,156
12/16/2013,First National Bank of Layton Mortgage Division,Draper & St. George,37
12/2/2013,URS (EG&G Defense Materials),Stockton,34
8/29/2013,Bank of America,South Jordan,65
7/20/2013,Convergys,Orem,75
7/1/2013,URS (EG&G Defense Materials),Stockton,194
6/3/2013,URS (EG&G Defense Materials),Stockton,193
4/22/2013,Convergys,Ogden,175
3/11/2013,URS (EG&G Defense Materials),Stockton,19
2/25/2013,URS (EG&G Defense Materials),Stockton,71
2/12/2013,"Viracon, Inc.",St. George,222
9/26/2012,TD Ameritrade Holding Corp,Draper,75
7/27/2012,URS Corp - EG&G Defense Materials,Tooele,779
6/29/2012,Cerro Flow Products,Cedar City,69
6/21/2012,SnugZ USA –Northstar Mfg.,Salt Lake City,350
,,(Relocating to Eagle Mtn. Utah),
5/24/2012,"Darigold, Inc",Salt Lake City,86
5/9/2012,Hostess navbar-headers,Statewide,580
2/15/2012,Northrop Grumman,Lehi,84
1/27/2012,HMS Host,Salt Lake City,195
12/12/2011,Nordstrom,Orem,185
11/4/2011,Canyon Fuel Company,Carbon County,114
10/17/2011,HMS Host,SLC,118
10/6/2011,EG&G Subsidiary of URS,Stockton,96
9/20/2011,PACE American,Hurricane,35
8/10/2011,Honeywell (FRAM Group),Clearfield,77
7/12/2011,"Penco Products, Inc.",West Jordan,70
7/11/2011,Wells Fargo & Co.,Salt Lake City,51
7/5/2011,Air Terminal Gifts,Salt Lake City,15
3/25/2011,Passages to Recovery,Loa,25
3/25/2011,Aspen Ranch,Loa,113
3/25/2011,Aspen Achievement Academy,Loa,55
3/25/2011,Youth Care of Utah,Draper,122
3/25/2011,SunHawk Academy of Utah,St. George,75
2/23/2011,Air Terminal Gifts,Salt Lake City,149
1/11/2011,Kmart Corporation,Kearns,72
11/30/2010,ZipLocal,Orem,85
11/29/2010,ZipRealty,Cottonwoods Heights,74
11/15/2010,Comcast,Sandy,321
10/25/2010,Principal Financial Group,Salt Lake City,82
10/1/2010,Consol Energy (Consolidation Coal Company; Emery Mine),Emery,171
09/31/10,Deseret News Publishing Co.,Salt Lake City,85
8/30/2010,FIS Management Services,Salt Lake City,31
7/19/2010,American Distribution Centers,Salt Lake City,39
6/18/2010,Flying J Inc.,Ogden,141
5/3/2010,Fidelity National Information Services (FIS),West Valley City,102
4/29/2010,"UPS Freight, Inc.",North Salt Lake,50
2/17/2010,Mosaic,"Nephi, Provo/Orem",94
2/17/2010,Provo Craft & Novelty Inc.,Spanish Fork,109
1/27/2010,CompuCredit,Salt Lake City,162
1/25/2010,Dollar Tree,Salt Lake City,98
11/10/2009,Enterprise Rent-A-Car,Salt Lake City,71
9/22/2009,Moog Aircraft,West Valley City,201
8/31/2009,Convergys,Taylorsville,300
8/13/2009,Teleperformance USA,Clearfield,151
7/21/2009,TW & Company,Clearfield (HAFB),100
7/13/2009,Advanta Corporation,Draper,31
6/30/2009,RR Donnelley,Spanish Fork,120
6/30/2009,"Holland & Hart, RxAmerica",Salt Lake City,200
6/16/2009,Beneficial Life Insurance,Salt Lake City,150
6/14/2009,First Transit,Logan,100
5/28/2009,Schlumberger,Vernal,22
5/28/2009,Weather Shield Premium,Logan,95
,Windows & Doors,,
5/6/2009,Teleperformance USA,Clearfield,189
May-09,Spring Air,Salt Lake City,53
3/26/2009,Schlumberger,Vernal,28
3/6/2009,"Holland & Hart, RxAmerica",Salt Lake City,43
3/2/2009,Western Quality Foods,Cedar City,95
2/2/2009,Move Networks,American Fork,57
1/16/2009,Rio Tinto,Salt Lake City,66
01/07//09,Lozier Corporation,Cedar City,82
