Company,Location,Layoff Start Date,# of Workers,Closure Layoff,Type of Layoff,Received Date
Employee Transportation Services,Everett and Renton,2/28/2019,75,Layoff,Permanent,12/18/2018
Thomson Reuters,Bellevue,2/8/2019,58,Closure,Permanent,12/6/2018
Providence,Lacey,2/25/2019,26,Closure,Permanent,12/3/2018
Tacoma News Tribune,Tacoma,2/3/2019,67,Layoff,Permanent,11/29/2018
QualChoice Health Plan Services,Federal Way,12/31/2018,164,Closure,Permanent,10/31/2018
ZymoGenetics,Seattle,12/31/2018,63,Closure,Permanent,10/31/2018
"Twin City Foods, Inc.",Stanwood,12/1/2018,65,Closure,Permanent,10/4/2018
Vertafore,Bothell,12/31/2018,53,Closure,Permanent,9/21/2018
State Farm,Tacoma,10/31/2018,269,Closure,Permanent,9/5/2018
Arvato,Yakima,9/28/2018,168,Closure,Permanent,7/12/2018
Conduent,Federal Way,7/31/2018,304,Closure,Permanent,6/1/2018
Wargaming (Seattle) Inc.,Redmond,7/22/2018,155,Closure,Permanent,5/24/2018
Menzies Aviation,SeaTac,7/8/2018,63,Layoff,Permanent,5/11/2018
Sears,Redmond,7/8/2018,68,Closure,Permanent,4/25/2018
Jorgensen Forge,Tukwila,6/18/2018,101,Closure,Permanent,4/20/2018
A.O. Smith,Renton,6/15/2018,57,Closure,Permanent,4/13/2018
Lionbridge,Vancouver,6/10/2018,119,Layoff,Permanent,4/6/2018
Flow International,Kent,6/30/2018,110,Closure,Permanent,3/29/2018
CHI Franciscan Health,Tacoma,5/27/2018,51,Closure,Permanent,3/20/2018
"Twin City Foods, Inc.",Stanwood,5/18/2018,92,Closure,Permanent,3/20/2018
Hitachi,Bellevue,5/1/2018,61,Closure,Permanent,3/2/2018
Pacific Seafood,Federal Way,4/30/2018,69,Closure,Permanent,2/26/2018
Marine View Beverage,Port Angeles,4/27/2018,5,Closure,Permanent,2/22/2018
Marine View Beverage,Poulsbo,4/27/2018,70,Closure,Permanent,2/22/2018
Marine View Beverage,Sumner,4/27/2018,138,Closure,Permanent,2/22/2018
Marine View Beverage,Sumner,4/27/2018,9,Closure,Permanent,2/22/2018
Marine View Beverage,Tumwater,4/27/2018,56,Closure,Permanent,2/22/2018
Cenveo Corporation,Kent,2/21/2018,62,Layoff,Permanent,2/21/2018
ASM Research,Lakewood,3/27/2018,7,Layoff,Permanent,2/1/2018
Georgia Pacific Corporation,Camas,5/1/2018,243,Closure,Permanent,1/30/2018
Sam's Club,Auburn,3/16/2018,168,Closure,Permanent,1/11/2018
Sam's Club,Renton,3/16/2018,179,Closure,Permanent,1/11/2018
Sam's Club,Seattle,3/16/2018,148,Closure,Permanent,1/11/2018
Northrop Grumman,Lakewood,1/12/2018,43,Closure,Permanent,11/14/2017
"ABM Aviation, Inc.",SeaTac,1/1/2018,171,Closure,Permanent,11/9/2017
Zenith Education Group,Everett,1/8/2018,29,Layoff,Permanent,11/7/2017
Zenith Education Group,Tacoma,1/8/2018,45,Layoff,Permanent,11/7/2017
Boeing,Puget Sound Area,1/1/2018,2,Layoff,Permanent,11/2/2017
The Hacker Group,Seattle,12/31/2017,17,Layoff,Permanent,11/1/2017
The Hacker Group,Seattle,12/4/2017,65,Layoff,Permanent,10/31/2017
"Northwest Trustee Services, Inc.",Bellevue,12/12/2017,25,Layoff,Permanent,10/13/2017
"Foreclosure Expeditors Initiators, LLC",Bellevue,12/12/2017,4,Layoff,Permanent,10/13/2017
"RCO Legal, PS",Bellevue,12/12/2017,12,Layoff,Permanent,10/13/2017
"Realty in Motion, LLC",Bellevue,12/12/2017,27,Layoff,Permanent,10/13/2017
Providence Medical Center,Everett,12/8/2017,62,Layoff,Permanent,10/10/2017
"Associated Materials, Inc.",Bothell,11/27/2017,87,Closure,Permanent,9/26/2017
Boeing,Puget Sound Area,11/17/2017,18,Layoff,Permanent,9/18/2017
Boeing,Puget Sound Area,10/20/2017,74,Layoff,Permanent,8/24/2017
Wells Fargo Home Mortgage Servicing,Vancouver,10/9/2017,72,Closure,Permanent,8/10/2017
Boeing,Puget Sound,9/22/2017,220,Layoff,Permanent,7/27/2017
APM Terminals,Tacoma,9/22/2017,12,Closure,Permanent,7/25/2017
Le Eco,Bellevue,9/18/2017,25,Closure,Permanent,7/24/2017
Vertafore,"Bothell, WA",10/1/2017,121,Layoff,Permanent,7/17/2017
"KIK Tacoma, Inc.","Tacoma, WA",8/11/2017,20,Closure,Permanent,7/12/2017
Boeing,Puget Sound Area,8/25/2017,89,Layoff,Permanent,6/30/2017
K-Mart,Tacoma,9/10/2017,67,Closure,Permanent,6/29/2017
Adventist Health,Walla Walla,8/24/2017,371,Closure,Permanent,6/21/2017
Space Needle,Seattle,9/5/2017,153,Closure,Permanent,6/15/2017
Boeing,Puget Sound Area,7/21/2017,337,Layoff,Permanent,5/23/2017
Electronic Arts Inc,"Seattle, WA",7/3/2017,45,Layoff,Permanent,5/8/2017
Boeing,Puget Sound Area,6/23/2017,580,Layoff,Permanent,5/8/2017
Spectrum Glass Company,Woodinville,6/30/2017,14,Closure,Permanent,5/1/2017
Railex,"Burbank, WA",6/30/2017,88,Layoff,Permanent,4/12/2017
Caradigm LLC,"Bellevue, WA",6/14/2017,39,Layoff,Permanent,4/12/2017
Ostrom's Mushroom Farms,Everson,6/1/2017,65,Layoff,Permanent,3/30/2017
Boeing,Puget Sound Area,5/19/2017,245,Layoff,Permanent,3/23/2017
"Nippon Paper Indsutries USA, Co. Ltd.",Port Angeles,3/6/2017,151,Layoff,Permanent,3/6/2017
Menzies Aviation,SeaTac,5/1/2017,949,Layoff,Permanent,3/3/2017
Harman (Harman International Industries),"Cheney, WA",5/4/2017,86,Closure,Permanent,3/2/2017
PeaceHealth,Various locations in Washington,4/30/2017,142,Layoff,Permanent,2/16/2017
Crown Resources Corporation/Echo Bay Minerals Company (KRB),Ferry and Okanogan Counties,4/10/2017,95,Closure,Permanent,2/10/2017
Hearth and Home Technologies,Colville,5/18/2017,90,Closure,Permanent,2/9/2017
BAE Systems,"Keyport, WA",3/31/2017,59,Layoff,Permanent,1/31/2017
Glu Mobile Washington Inc.,"Bellevue, WA",3/11/2017,58,Layoff,Permanent,1/10/2017
Macy's,Everett,3/6/2017,135,Closure,Permanent,1/5/2017
Voicebox Technologies Corporation,Bellevue,1/5/2017,115,Layoff,Permanent,1/5/2017
Spectrum Health Systems Inc,Nineteen locations across Washington State,12/31/2016,79,Closure,Permanent,1/3/2017
Seattle Sportservice Inc,Seattle,2/14/2017,761,Closure,Permanent,12/16/2016
Omak Wood Products,Omak,1/29/2017,217,Closure,Permanent,12/8/2016
Garco,Airway Heights,1/14/2017,112,Closure,Permanent,11/15/2016
Intel Corporation,DuPont,12/31/2016,77,Closure,Permanent,11/15/2016
"Ocean Beauty Seafoods, Inc",Seattle,12/30/2016,69,Closure,Permanent,10/31/2016
Hearthstone Cottages,Ellensburg,11/30/2016,48,Closure,Permanent,10/31/2016
Hearthstone Cottages,East Wenatchee,11/30/2016,36,Closure,Permanent,10/31/2016
Colonial Vista Retirement Centers,Wenatchee,11/30/2016,70,Closure,Permanent,10/31/2016
Colonial Vista Retirement Centers,Wenatchee,11/30/2016,149,Closure,Permanent,10/31/2016
"Healthy Options, LLC",Wenatchee,1/1/2017,66,Closure,Permanent,10/28/2016
"Healthways SC, LLC",Bellevue,12/31/2016,68,Closure,Permanent,10/18/2016
Boeing,Puget Sound,12/16/2016,56,Layoff,Permanent,10/18/2016
Jorgensen Forge,Tukwila,10/31/2016,111,Closure,Permanent,10/14/2016
"Hollander Investments, Inc.",Everett,12/5/2016,84,Layoff,Temporary,10/12/2016
"Capital One Investing, LLC",Seattle,10/1/2016,239,Layoff,Permanent,10/3/2016
Spectrum Glass Company,Woodinville,11/14/2016,7,Closure,Permanent,9/26/2016
L'Oreal USA,Redmond & Kent,11/21/2016,120,Layoff,Permanent,9/20/2016
Disney Social Games,Bellevue,12/20/2016,61,Closure,Permanent,9/14/2016
W.G. Cells,Bellevue,10/22/2016,64,Closure,Permanent,8/24/2016
Boeing,Puget Sound,10/21/2016,116,Layoff,Permanent,8/24/2016
Spectrum Glass Company,Woodinville,9/14/2016,6,Closure,Permanent,7/18/2016
Trading Company Stores,Cheney,9/10/2016,53,Closure,Permanent,7/13/2016
Trading Company Stores,Spokane Valley,9/10/2016,76,Closure,Permanent,7/13/2016
Trading Company Stores,Spokane,9/10/2016,83,Closure,Permanent,7/13/2016
Triumph Structures-Everett,Everett,9/30/2016,99,Closure,Permanent,7/11/2016
DCS Facility Services,Statewide,8/31/2016,220,Closure,Permanent,7/1/2016
Minerallac,Seattle,9/1/2016,9,Closure,Permanent,6/23/2016
Boeing,Puget Sound,8/19/2016,99,Layoff,Permanent,6/22/2016
Boeing,Puget Sound,7/22/2016,211,Layoff,Permanent,6/1/2016
Forever 21 Retail,Tacoma,6/22/2016,70,Closure,Permanent,5/25/2016
Olympic Panel Products,Shelton,7/22/2016,217,Closure,Permanent,5/23/2016
Broadspectrum,Anacortes,6/9/2016,57,Closure,Permanent,5/20/2016
Summit Management Company,Winlock,7/14/2016,3,Layoff,Permanent,5/18/2016
Spectrum Glass Company,Woodinville,7/14/2016,124,Closure,Permanent,5/18/2016
CRF Frozen Foods,Pasco,5/3/2016,250,Closure,Temporary,5/12/2016
Washington Closure Hanford,Richland,7/1/2016,435,Closure,Permanent,5/10/2016
Cablecraft Motion Controls,Tacoma,6/16/2016,38,Layoff,Permanent,4/21/2016
Cascade Valley Hospital & Clinics,Arlington,5/31/2016,418,Closure,Permanent,4/1/2016
Xerox Commercial Solutioins,Kent,5/31/2016,98,Layoff,Permanent,4/1/2016
Mycom North America,Redmond,3/31/2016,2,Closure,Permanent,3/22/2016
Wells Fargo Home Mortgage Servicing,Vancouver,4/3/2016,1,Layoff,Permanent,3/17/2016
Sterling Life Insurance Company,Bellingham,5/11/2016,55,Closure,Permanent,3/16/2016
Haggen Food & Pharmacy,Puyallup,5/10/2016,78,Closure,Permanent,3/11/2016
Haggen Food & Pharmacy,Port Angeles,5/10/2016,67,Closure,Permanent,3/11/2016
Haggen Food & Pharmacy,Federal Way,5/9/2016,71,Closure,Permanent,3/9/2016
Haggen Food & Pharmacy,Burien,5/9/2016,54,Closure,Permanent,3/9/2016
Locating Inc.,Lakewood,5/1/2016,60,Closure,Permanent,3/8/2016
Xerox Commercial Solutioins,Redmond,5/6/2016,325,Closure,Permanent,3/7/2016
Albertson's LLC,Bellingham,5/7/2016,65,Closure,Permanent,3/7/2016
University of Phoenix,Seattle,4/29/2016,4,Closure,Permanent,3/2/2016
"Apollo Education Group, Inc. (AEG)",Seattle,4/29/2016,72,Closure,Permanent,3/2/2016
Maslow Media Group,Seattle,4/30/2016,8,Closure,Permanent,2/26/2016
Concentrix,Bremerton,3/4/2016,520,Closure,Permanent,2/3/2016
Wells Fargo Home Mortgage Servicing,Vancouver,4/3/2016,59,Closure,Permanent,2/3/2016
Cardinal Health,Auburn,3/31/2016,59,Layoff,Permanent,2/1/2016
Haggen Food & Pharmacy,Puyallup,3/8/2016,87,Closure,Permanent,1/8/2016
Macy's,Spokane,3/14/2016,94,Closure,Permanent,1/7/2016
Hoquiam Plywood Products,Hoquiam,2/15/2016,90,Layoff,Temporary,12/18/2015
Omak Wood Products,Omak,2/12/2016,184,Closure,Permanent,12/15/2015
Aramark Sports & Entertainment,Seattle,12/31/2015,78,Closure,Permanent,12/10/2015
Management & Training Corporation,Sedro Woolley,1/31/2016,90,Closure,Permanent,12/2/2015
JACO Environmental,Bothell/Everett,11/23/2015,154,Layoff,Permanent,11/24/2015
Alcoa Intalco Works,Ferndale,1/18/2016,465,Layoff,Temporary,11/19/2015
Alcoa Inc.,Malaga,1/5/2016,415,Layoff,Temporary,11/9/2015
CH2M,Bellingham,12/7/2015,128,Closure,Permanent,10/20/2015
Graphic Packaging,Renton,12/3/2015,108,Closure,Permanent,10/8/2015
Haggen Food & Pharmacy,Statewide,11/24/2015,1073,Closure,Permanent,9/25/2015
CH2M,Bellingham,11/20/2015,128,Layoff,Permanent,9/23/2015
Red Lion Hotel,Vancouver,10/31/2015,82,Closure,Permanent,8/26/2015
HTC America,Bellevue,8/25/2015,85,Layoff,Permanent,8/24/2015
Boeing,Puget Sound,10/23/2015,39,Layoff,Permanent,8/24/2015
Interfor,Tacoma,8/24/2015,127,Closure,Permanent,8/24/2015
Haggen Food & Pharmacy,Spanaway,10/13/2015,62,Closure,Permanent,8/14/2015
HTC America,Bellevue,8/10/2015,23,Layoff,Permanent,8/10/2015
HTC America Innovation,Seattle,8/10/2015,24,Layoff,Permanent,8/10/2015
Boeing,Puget Sound,9/18/2015,172,Layoff,Permanent,7/22/2015
Mount Baker Vapor,Bellingham,9/15/2015,92,Closure,Permanent,7/13/2015
Sodexo,Snohomish,8/31/2015,63,Closure,Permanent,6/30/2015
Boeing,Puget Sound,8/21/2015,23,Layoff,Permanent,6/22/2015
Bags,Seattle,8/14/2015,190,Layoff,Permanent,6/17/2015
Boeing,Puget Sound,7/14/2015,18,Layoff,Permanent,6/11/2015
Interfor,Tacoma,5/22/2015,90,Layoff,Temporary,5/28/2015
Emeritus Senior Living,Seattle,6/24/2015,10,Layoff,Permanent,4/27/2015
Golden Nugget Tukwila Casino,Tukwila,6/26/2015,69,Closure,Permanent,4/27/2015
Simpson Lumber Company,Shelton,6/25/2015,275,Closure,Permanent,4/27/2015
Boeing,Puget Sound,6/19/2015,153,Layoff,Permanent,4/23/2015
Federal Home Loan Bank,Seattle,6/1/2015,109,Layoff,Permanent,4/2/2015
Triumph Composite Systems,Spokane,5/11/2015,25,Layoff,Permanent,3/9/2015
Valeant Pharmaceuticals,Seattle,2/23/2015,77,Layoff,Permanent,3/2/2015
"Ambassador Programs, Inc.",Spokane,4/27/2015,60,Layoff,Permanent,2/26/2015
Trulia,Bellevue,4/20/2015,157,Layoff,Permanent,2/26/2015
Boeing,Puget Sound,4/24/2015,319,Layoff,Permanent,2/26/2015
Emeritus Senior Living,"Seattle, WA",4/2/2015,41,Layoff,Permanent,2/3/2015
Great American Casino,Kent,3/15/2015,93,Closure,Permanent,1/26/2015
Bradken Foundry,Chehalis,3/16/2015,89,Closure,Permanent,1/15/2015
United Airlines,Seattle,3/7/2015,41,Closure,Permanent,1/7/2015
Group Health,Seattle,3/1/2015,15,Closure,Permanent,12/29/2014
Boeing,Puget Sound,1/23/2015,83,Layoff,Permanent,12/2/2014
United Airlines,Seattle,1/30/2015,264,Closure,Permanent,12/1/2014
Swiift Transportation,Pasco,1/30/2015,180,Layoff,Permanent,12/1/2014
Avamere Georgian House of Lakewood,Lakewood WA,1/16/2015,69,Closure,Permanent,11/12/2014
JCPenney,"Sumner, WA",1/16/2015,112,Closure,Permanent,11/12/2014
Nordstrom,Vancouver,1/10/2015,142,Closure,Permanent,10/31/2014
Group Health,Seattle,12/31/2014,102,Closure,Permanent,10/31/2014
Microsoft,Redmond,12/28/2014,635,Layoff,Permanent,10/30/2014
Amgen,Seattle,12/31/2014,274,Closure,Permanent,10/22/2014
Cobalt Mortgage,Kirkland,12/16/2014,10,Closure,Permanent,10/13/2014
"Metrie, Inc.",Monroe,11/27/2014,54,Closure,Permanent,10/9/2014
Emeritus Senior Living,"Seattle, WA",12/1/2014,29,Layoff,Permanent,10/6/2014
Hightail,Not Provided,9/17/2014,1,Layoff,Permanent,9/18/2014
Macro Technologies,Kirkland,11/21/2014,64,Layoff,Permanent,9/18/2014
Cobalt Mortgage,Kirkland,11/21/2014,148,Layoff,Permanent,9/18/2014
Microsoft,Redmond,11/17/2014,747,Layoff,Permanent,9/18/2014
Staples,Auburn,11/17/2014,50,Layoff,Permanent,9/17/2014
Niagara Bottling,"Burlington, WA",11/13/2014,73,Closure,Permanent,9/5/2014
Novo Nordisk,Seattle,11/3/2014,63,Layoff,Permanent,9/4/2014
JCPenney,Bellevue,11/1/2014,141,Closure,Permanent,9/3/2014
Boeing,Puget Sound,10/24/2014,70,Layoff,Permanent,8/25/2014
Employment Security Department,Statewide,10/15/2014,149,Layoff,Permanent,8/22/2014
G4S Government Solutions,"Bangor, Silverdale",9/30/2014,93,Closure,Temporary,8/12/2014
Emeritus Senior Living,"Seattle, WA",10/6/2014,6,Layoff,Permanent,8/6/2014
Elliott's Oyster House,"Seattle, WA",10/1/2014,200,Closure,Temporary,8/6/2014
Interfor,"Beaver & Forks, WA",7/31/2014,87,Closure,Permanent,8/1/2014
Boeing,Puget Sound,9/19/2014,95,Layoff,Permanent,7/21/2014
Microsoft,Redmond,9/15/2014,1351,Layoff,Permanent,7/17/2014
Waste Management,"Oak Harbor, WA",9/19/2014,125,Closure,Permanent,6/27/2014
CenturyLink,"Seattle, WA",8/11/2014,158,Closure,Permanent,6/11/2014
Eagle Marine Services,"Seattle, WA",7/31/2014,94,Closure,Permanent,6/3/2014
Emeritus Senior Living,"Seattle, WA",7/31/2014,4,Layoff,Permanent,5/29/2014
Eager Beaver Computers,"Spokane Valley, WA",6/30/2014,1,Closure,Permanent,5/5/2014
PerkinElmer,"Spokane, WA",6/27/2014,80,Closure,Permanent,5/2/2014
Express Scripts,"Liberty Lake, WA",6/29/2014,203,Closure,Permanent,4/29/2014
Chasing Fireflies,Seattle,5/1/2014,92,Layoff,Permanent,3/4/2014
Pepsi,Seattle,4/22/2014,52,Closure,Permanent,2/25/2014
Sears,Seattle,6/1/2014,13,Closure,Permanent,2/20/2014
Sears,"Seattle, WA",6/1/2014,66,Layoff,Permanent,2/20/2014
Boeing,Puget Sound,4/18/2014,79,Layoff,Permanent,2/18/2014
Zynga Inc.,Seattle,1/30/2014,52,Closure,Permanent,2/11/2014
N-Store Merchandising,"Statewide, WA",2/3/2014,35,Closure,Permanent,2/11/2014
Sprint,"Bellevue & Kirkland, WA",3/1/2014,91,Layoff,Permanent,2/11/2014
Boeing,Puget Sound,4/4/2014,9,Layoff,Permanent,2/3/2014
"Mettler-Toledo AutoChem, Inc.","Redmond, WA",6/30/2014,21,Closure,Permanent,1/24/2014
Boeing,Puget Sound,3/21/2014,8,Layoff,Permanent,1/21/2014
General Dynamics/Electric Boat,"Silverdale, WA",3/14/2014,29,Layoff,Permanent,1/17/2014
Oldcastle Building Envelope,Everett,3/12/2014,56,Closure,Permanent,1/13/2014
Boeing,Puget Sound,2/21/2014,11,Layoff,Permanent,12/23/2013
Transfield Services Rersource & Energy,"Ferndale, WA",12/31/2013,49,Closure,Permanent,12/10/2013
Boeing,Puget Sound,1/24/2014,71,Layoff,Permanent,11/25/2013
Berry Plastics Corporation,Kent,1/19/2014,118,Closure,Permanent,11/20/2013
Sprint,Bellevue,12/31/2013,17,Layoff,Permanent,11/18/2013
Boeing,Puget Sound,1/1/2014,39,Layoff,Permanent,11/6/2013
Electric Boat,Bremerton,1/3/2014,6,Layoff,Permanent,11/1/2013
Pacific Rail Services,Seattle,12/31/2013,75,Closure,Permanent,10/22/2013
Boeing,Puget Sound,12/13/2013,200,Layoff,Permanent,10/15/2013
Visiting Nurse Home Care,"Whatcom, County",11/30/2013,150,Closure,Permanent,10/1/2013
RockTenn,Renton,11/22/2013,58,Closure,Permanent,9/30/2013
Boeing,Puget Sound,11/22/2013,266,Layoff,Permanent,9/23/2013
Mike Campbell & Associates,Lacey,11/12/2013,76,Closure,Permanent,9/10/2013
Sprint,Bellevue & Kirkland,9/20/2013,161,Closure,Permanent,9/9/2013
RoadLink Workforce Solutions,Chehalis,9/15/2013,86,Closure,Permanent,9/3/2013
AREVA Federal Services LLC,Richland,7/31/2013,3,Layoff,Permanent,8/1/2013
Boeing,Puget Sound,9/27/2013,3,Layoff,Permanent,7/29/2013
Boeing,Puget Sound,9/20/2013,143,Layoff,Permanent,7/25/2013
Medical Center Pharmacy,Olympia,6/30/2013,4,Closure,Permanent,7/24/2013
Pacific Construction Systems,Bellevue,12/31/2013,103,Closure,Permanent,7/18/2013
Andrews International Inc.,Seattle,9/1/2013,35,Layoff,Permanent,7/15/2013
"Fluor Federal Services, Inc.",Richland,9/26/2013,150,Layoff,Permanent,7/8/2013
Boeing,Puget Sound,8/23/2013,266,Layoff,Permanent,6/25/2013
Zynga Inc.,Seattle,6/3/2013,2,Layoff,Permanent,6/7/2013
Boeing,Puget Sound,7/19/2013,253,Layoff,Permanent,5/21/2013
RoadLink Workforce Solutions,Chehalis,5/18/2013,150,Layoff,Permanent,5/16/2013
EPIC,Yakima County,5/31/2013,328,Layoff,Permanent,5/8/2013
Boeing,Puget Sound,6/21/2013,99,Layoff,Permanent,4/23/2013
Comprehensive Clinical Development NW,Tacoma,4/17/2013,43,Closure,Permanent,4/17/2013
Sargento,Bellingham,5/3/2013,34,Closure,Permanent,4/11/2013
First A.M.E. Child Development Center,Seattle,6/30/2013,45,Closure,Permanent,4/10/2013
Boeing,Puget Sound,6/7/2013,939,Layoff,Permanent,4/8/2013
"Sykes Enterprises, Incorporated",Spokane Valley,5/26/2013,148,Closure,Permanent,3/26/2013
"Semiahmoo Resort Company, LLC",Blaine,5/3/2013,107,Closure,Permanent,3/6/2013
Central Parking,Bellevue,2/28/2013,102,Closure,Permanent,2/21/2013
Levy Premium Foodservice LP,Seattle,2/26/2013,363,Closure,Permanent,1/30/2013
Briggs Nursery,Porter,1/25/2013,150,Closure,Permanent,1/28/2013
Katana Summit,Ephrata,12/31/2012,81,Closure,Permanent,1/18/2013
Kmart,Seattle,3/10/2013,85,Closure,Permanent,1/15/2013
American Suzuki Motor Corporation,Snohomish and Spokane Counties,3/14/2013,2,Closure,Permanent,1/14/2013
"Pacific Physicians' Laboratory, Inc.",Lynnwood,3/9/2013,59,Closure,Permanent,1/9/2013
Skookum,Ft. Lewis,2/28/2013,54,Layoff,Temporary,12/27/2012
Life Care Center of West Seattle,Seattle,1/31/2013,99,Closure,Permanent,12/20/2012
TriWest Healthcare Alliance Corporation,Pierce County,2/15/2013,127,Closure,Permanent,12/18/2012
TriWest Healthcare Alliance Corporation,Yakima,2/15/2013,1,Closure,Permanent,12/18/2012
